Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs
Tannowa,135.1836656,34.3387814,JMA,0.312,294.573,0.172,310.513,NaN,NaN,NaN,NaN,0.253,65.827,0.192,43.747,NaN,NaN,NaN,NaN
Tateyama,139.8504185,34.9914548,JMA,0.373,227.9,0.172,254.3,NaN,NaN,NaN,NaN,0.242,37.85,0.169,17.45,NaN,NaN,NaN,NaN
Tobishima,139.5505445,39.1840336,JMA,0.053,174.76,0.02,207.68,NaN,NaN,NaN,NaN,0.053,210.43,0.054,185.39,NaN,NaN,NaN,NaN
Tokuyama,131.7965239,34.0491666,JMA,0.882,348.53,0.377,17.7,NaN,NaN,NaN,NaN,0.285,75.81,0.211,54.2,NaN,NaN,NaN,NaN
Tokyo,139.7693599,35.6495902,JMA,0.48,234.487,0.238,262.947,NaN,NaN,NaN,NaN,0.252,39.893,0.197,21.353,NaN,NaN,NaN,NaN
Tomakomaihigashi,141.8086633,42.6066493,JMA,0.311,182.897,0.145,221.637,NaN,NaN,NaN,NaN,0.233,24.943,0.185,7.863,NaN,NaN,NaN,NaN
Tosashimizu,132.9566623,32.7740058,JMA,0.516,268.397,0.228,292.627,NaN,NaN,NaN,NaN,0.222,56.073,0.171,36.173,NaN,NaN,NaN,NaN
Toyama,137.2268353,36.7656099,JMA,0.059,167.437,0.022,193.837,NaN,NaN,NaN,NaN,0.053,209.453,0.052,182.623,NaN,NaN,NaN,NaN
Tsuruga,136.0636093,35.6684974,JMA,0.058,160.727,0.021,183.467,NaN,NaN,NaN,NaN,0.051,206.433,0.053,179.223,NaN,NaN,NaN,NaN
Tsushimahitakatsu,129.4739667,34.6538215,JMA,0.322,354.383,0.158,19.873,NaN,NaN,NaN,NaN,0.031,116.497,0.037,122.377,NaN,NaN,NaN,NaN
Ube,131.2400008,33.9448686,JMA,1.046,351.58,0.457,21.4,NaN,NaN,NaN,NaN,0.301,77.8,0.227,56.18,NaN,NaN,NaN,NaN
Urakawa,142.7554232,42.1655219,JMA,0.305,182.287,0.142,221.367,NaN,NaN,NaN,NaN,0.234,25.683,0.196,7.623,NaN,NaN,NaN,NaN
Wajima,136.9037765,37.4016705,JMA,0.059,165.88,0.021,190.15,NaN,NaN,NaN,NaN,0.055,208.69,0.055,182.69,NaN,NaN,NaN,NaN
Wakkanai,141.6863048,45.4106886,JMA,0.022,188.243,0.02,218.263,NaN,NaN,NaN,NaN,0.065,236.117,0.063,209.847,NaN,NaN,NaN,NaN
Yaizu,138.3335959,34.8677982,JMA,0.409,248.033,0.189,273.763,NaN,NaN,NaN,NaN,0.229,44.597,0.174,23.097,NaN,NaN,NaN,NaN
Yatsushiro,130.5657658,32.5103339,JMA,1.12,347.957,0.492,21.667,NaN,NaN,NaN,NaN,0.271,87.633,0.211,67.373,NaN,NaN,NaN,NaN
Yokohama,139.6462986,35.4550319,JMA,0.445,233.4,0.219,261.99,NaN,NaN,NaN,NaN,0.246,39.45,0.194,20.86,NaN,NaN,NaN,NaN
