2018/2/7 11,540
2018/2/7 12,420
2018/2/7 13,390
2018/2/7 14,440
2018/2/7 15,550
2018/2/7 16,720
2018/2/7 17,880
2018/2/7 18,1030
2018/2/7 19,1110
2018/2/7 20,1130
2018/2/7 21,1060
2018/2/7 22,930
2018/2/7 23,800
2018/2/8 0,680
2018/2/8 1,580
2018/2/8 2,580
2018/2/8 3,570
2018/2/8 4,700
2018/2/8 5,840
2018/2/8 6,920
2018/2/8 7,970
2018/2/8 8,970
2018/2/8 9,930
2018/2/8 10,830
2018/2/8 11,700
2018/2/8 12,560
2018/2/8 13,480
2018/2/8 14,480
2018/2/8 15,500
2018/2/8 16,620
2018/2/8 17,780
2018/2/8 18,920
2018/2/8 19,1060
2018/2/8 20,1140
2018/2/8 21,1160
2018/2/8 22,1110
2018/2/8 23,1000
2018/2/9 0,890
2018/2/9 1,750
2018/2/9 2,660
2018/2/9 3,610
2018/2/9 4,610
2018/2/9 5,670
2018/2/9 6,760
2018/2/9 7,840
2018/2/9 8,880
2018/2/9 9,900
2018/2/9 10,890
2018/2/9 11,770
2018/2/9 12,720
2018/2/9 13,590
2018/2/9 14,530
2018/2/9 15,510
2018/2/9 16,540
2018/2/9 17,660
2018/2/9 18,780
2018/2/9 19,930
2018/2/9 20,1100
2018/2/9 21,1160
2018/2/9 22,1210
2018/2/9 23,1130
2018/2/10 0,1040
2018/2/10 1,920
2018/2/10 2,730
2018/2/10 3,660
2018/2/10 4,620
2018/2/10 5,580
2018/2/10 6,650
2018/2/10 7,700
2018/2/10 8,780
2018/2/10 9,850
2018/2/10 10,880
2018/2/10 11,840
2018/2/10 12,760
2018/2/10 13,730
2018/2/10 14,600
2018/2/10 15,540
2018/2/10 16,510
2018/2/10 17,530
2018/2/10 18,650
2018/2/10 19,790
2018/2/10 20,980
2018/2/10 21,1110
2018/2/10 22,1180
2018/2/10 23,1210
2018/2/11 0,1110
2018/2/11 1,1000
2018/2/11 2,860
2018/2/11 3,710
2018/2/11 4,580
2018/2/11 5,530
2018/2/11 6,510
2018/2/11 7,600
2018/2/11 8,640
2018/2/11 9,760
2018/2/11 10,840
2018/2/11 11,870
2018/2/11 12,830
2018/2/11 13,750
2018/2/11 14,660
2018/2/11 15,580
2018/2/11 16,500
2018/2/11 17,490
2018/2/11 18,530
2018/2/11 19,650
2018/2/11 20,820
2018/2/11 21,1030
2018/2/11 22,1180
2018/2/11 23,1240
2018/2/12 0,1250
2018/2/12 1,1190
2018/2/12 2,1000
2018/2/12 3,820
2018/2/12 4,640
2018/2/12 5,510
2018/2/12 6,480
2018/2/12 7,490
2018/2/12 8,580
2018/2/12 9,700
2018/2/12 10,840
2018/2/12 11,920
2018/2/12 12,950
2018/2/12 13,930
2018/2/12 14,830
2018/2/12 15,710
2018/2/12 16,600
2018/2/12 17,500
2018/2/12 18,510
2018/2/12 19,590
2018/2/12 20,740
2018/2/12 21,950
2018/2/12 22,1150
2018/2/12 23,1300
2018/2/13 0,1360
2018/2/13 1,1320
2018/2/13 2,1180
2018/2/13 3,980
2018/2/13 4,760
2018/2/13 5,580
2018/2/13 6,450
2018/2/13 7,400
2018/2/13 8,470
2018/2/13 9,620
2018/2/13 10,770
2018/2/13 11,900
2018/2/13 12,980
2018/2/13 13,970
2018/2/13 14,890
2018/2/13 15,750
2018/2/13 16,590
2018/2/13 17,470
2018/2/13 18,410
2018/2/13 19,470
2018/2/13 20,610
2018/2/13 21,800
2018/2/13 22,1020
2018/2/13 23,1260
2018/2/14 0,1360
2018/2/14 1,1410
2018/2/14 2,1290
2018/2/14 3,1130
2018/2/14 4,910
2018/2/14 5,660
2018/2/14 6,500
2018/2/14 7,390
2018/2/14 8,420
2018/2/14 9,510
2018/2/14 10,660
2018/2/14 11,850
2018/2/14 12,960
2018/2/14 13,1010
2018/2/14 14,980
2018/2/14 15,850
2018/2/14 16,690
2018/2/14 17,530
2018/2/14 18,440
2018/2/14 19,430
2018/2/14 20,470
2018/2/14 21,670
2018/2/14 22,890
2018/2/14 23,1150
2018/2/15 0,1340
2018/2/15 1,1430
2018/2/15 2,1360
2018/2/15 3,1280
2018/2/15 4,1020
2018/2/15 5,780
2018/2/15 6,510
2018/2/15 7,410
2018/2/15 8,340
2018/2/15 9,390
2018/2/15 10,550
2018/2/15 11,730
2018/2/15 12,970
2018/2/15 13,1040
2018/2/15 14,1030
2018/2/15 15,930
2018/2/15 16,740
2018/2/15 17,610
2018/2/15 18,480
2018/2/15 19,370
2018/2/15 20,390
2018/2/15 21,500
2018/2/15 22,720
2018/2/15 23,980
2018/2/16 0,1170
2018/2/16 1,1350
2018/2/16 2,1370
2018/2/16 3,1320
2018/2/16 4,1130
2018/2/16 5,860
2018/2/16 6,610
2018/2/16 7,360
2018/2/16 8,310
2018/2/16 9,310
2018/2/16 10,440
2018/2/16 11,600
2018/2/16 12,810
2018/2/16 13,970
2018/2/16 14,1020
2018/2/16 15,1020
2018/2/16 16,900
2018/2/16 17,700
2018/2/16 18,540
2018/2/16 19,420
2018/2/16 20,340
2018/2/16 21,450
2018/2/16 22,600
2018/2/16 23,840
2018/2/17 0,1090
2018/2/17 1,1300
2018/2/17 2,1420
2018/2/17 3,1410
2018/2/17 4,1270
2018/2/17 5,1030
2018/2/17 6,760
2018/2/17 7,520
2018/2/17 8,370
2018/2/17 9,330
2018/2/17 10,380
2018/2/17 11,550
2018/2/17 12,730
2018/2/17 13,930
2018/2/17 14,1050
2018/2/17 15,1080
2018/2/17 16,1010
2018/2/17 17,860
2018/2/17 18,690
2018/2/17 19,510
2018/2/17 20,400
2018/2/17 21,400
2018/2/17 22,500
2018/2/17 23,690
2018/2/18 0,950
2018/2/18 1,1190
2018/2/18 2,1360
