Rural Location: Cherry Springs State Park (41.6646N,77.8125W)
Wavelength(nm),Elev=0.0(log(W/m2/nm)),Elev=-1.0(log(W/m2/nm)),Elev=-2.0(log(W/m2/nm)),Elev=-3.0(log(W/m2/nm)),Elev=-4.0(log(W/m2/nm)),Elev=-5.0(log(W/m2/nm)),Elev=-6.0(log(W/m2/nm)),Elev=-7.0(log(W/m2/nm)),Elev=-8.0(log(W/m2/nm)),Elev=-9.0(log(W/m2/nm)),Elev=-10.0(log(W/m2/nm)),Elev=-11.0(log(W/m2/nm)),Elev=-12.0(log(W/m2/nm)),Elev=-13.0(log(W/m2/nm)),Elev=-14.0(log(W/m2/nm)),Elev=-15.0(log(W/m2/nm)),Elev=-16.0(log(W/m2/nm)),Elev=-17.0(log(W/m2/nm)),Elev=-18.0(log(W/m2/nm))
397,-1.768,-1.901,-2.072,-2.279,-2.487,-2.779,-3.098,-3.469,-3.946,-4.404,-4.960,-5.453,-5.873,-6.358,-6.740,-7.173,-7.540,-7.792,-7.946
398,-1.743,-1.875,-2.046,-2.252,-2.461,-2.754,-3.073,-3.444,-3.921,-4.379,-4.935,-5.428,-5.850,-6.339,-6.718,-7.157,-7.526,-7.774,-7.934
399,-1.707,-1.839,-2.010,-2.216,-2.425,-2.717,-3.037,-3.408,-3.886,-4.344,-4.901,-5.395,-5.818,-6.313,-6.700,-7.139,-7.517,-7.785,-7.932
400,-1.678,-1.810,-1.981,-2.187,-2.397,-2.688,-3.008,-3.379,-3.858,-4.316,-4.873,-5.367,-5.792,-6.288,-6.673,-7.117,-7.488,-7.750,-7.905
401,-1.656,-1.786,-1.956,-2.163,-2.373,-2.665,-2.984,-3.357,-3.835,-4.294,-4.851,-5.346,-5.773,-6.270,-6.657,-7.096,-7.469,-7.729,-7.881
402,-1.640,-1.771,-1.942,-2.147,-2.357,-2.651,-2.970,-3.342,-3.822,-4.280,-4.838,-5.332,-5.760,-6.259,-6.656,-7.099,-7.474,-7.746,-7.887
403,-1.624,-1.755,-1.927,-2.132,-2.342,-2.635,-2.955,-3.327,-3.807,-4.266,-4.822,-5.316,-5.743,-6.244,-6.639,-7.082,-7.459,-7.729,-7.868
404,-1.615,-1.745,-1.916,-2.122,-2.332,-2.624,-2.945,-3.317,-3.798,-4.257,-4.813,-5.309,-5.741,-6.244,-6.640,-7.085,-7.465,-7.749,-7.916
405,-1.612,-1.742,-1.913,-2.118,-2.328,-2.621,-2.941,-3.315,-3.796,-4.255,-4.812,-5.308,-5.736,-6.237,-6.627,-7.068,-7.448,-7.721,-7.871
406,-1.604,-1.734,-1.906,-2.110,-2.321,-2.614,-2.934,-3.308,-3.789,-4.248,-4.805,-5.300,-5.727,-6.226,-6.613,-7.054,-7.425,-7.704,-7.844
